"""%s"" contains not only digit characters.","""%s"" contains not only digit characters."
"""%s"" does not fit the entered date format.","""%s"" does not fit the entered date format."
"""%s"" exceeds the allowed file size.","""%s"" exceeds the allowed file size."
"""%s"" exceeds the allowed length.","""%s"" exceeds the allowed length."
"""%s"" has not only alphabetic and digit characters.","""%s"" has not only alphabetic and digit characters."
"""%s"" has not only alphabetic characters.","""%s"" has not only alphabetic characters."
"""%s"" height exceeds allowed value of %s px.","""%s"" height exceeds allowed value of %s px."
"""%s"" invalid type entered.","""%s"" invalid type entered."
"""%s"" is a required value.","""%s"" is a required value."
"""%s"" is an empty string.","""%s"" is an empty string."
"""%s"" is not a valid URL.","""%s"" is not a valid URL."
"""%s"" is not a valid date.","""%s"" is not a valid date."
"""%s"" is not a valid email address.","""%s"" is not a valid email address."
"""%s"" is not a valid file","""%s"" is not a valid file"
"""%s"" is not a valid file extension.","""%s"" is not a valid file extension."
"""%s"" is not a valid file.","""%s"" is not a valid file."
"""%s"" is not a valid hostname.","""%s"" is not a valid hostname."
"""%s"" is not a valid image format","""%s"" is not a valid image format"
"""%s"" length must be equal to or greater than %s characters.","""%s"" length must be equal to or greater than %s characters."
"""%s"" length must be less than or equal to %s characters.","""%s"" length must be less than or equal to %s characters."
"""%s"" width exceeds allowed value of %s px.","""%s"" width exceeds allowed value of %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' appears to be a DNS hostname but cannot extract TLD part"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' appears to be a DNS hostname but cannot match TLD against known list"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' appears to be a DNS hostname but contains a dash in an invalid position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' appears to be a local network name but local network names are not allowed"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' appears to be an IP address, but IP addresses are not allowed"
"'%value%' does not appear to be a valid URI hostname","'%value%' does not appear to be a valid URI hostname"
"'%value%' does not appear to be a valid local network name","'%value%' does not appear to be a valid local network name"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' does not match the expected structure for a DNS hostname"
"* Required Fields","* Required Fields"
"A new password has been sent.","A new password has been sent."
"ALL GROUPS","ALL GROUPS"
"Account Dashboard","Account Dashboard"
"Account Information","Account Information"
"Account Sharing Options","Account Sharing Options"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>."
"Action","Action"
"Add New Address","Add New Address"
"Add New User","Add New User"
"Add New User Group","Add New User Group"
"Added From","Added From"
"Additional Address Entries","Additional Address Entries"
"Address","Address"
"Address Book","Address Book"
"Address Books","Address Books"
"Address Information","Address Information"
"Address Templates","Address Templates"
"Addresses","Addresses"
"Admin","Admin"
"All","All"
"All Store Views","All Store Views"
"All countries","All countries"
"Always optional.","Always optional."
"Amount","Amount"
"An error occurred while deleting the address.","An error occurred while deleting the address."
"An error occurred while retrieving the option value: %s.","An error occurred while retrieving the option value: %s."
"An error occurred while saving the collection, aborting. Error: %s","An error occurred while saving the collection, aborting. Error: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"Approved","Approved"
"Are you sure that you want to remove this item?","Are you sure that you want to remove this item?"
"Are you sure you want to cancel adding of this address?","Are you sure you want to cancel adding of this address?"
"Are you sure you want to delete this address?","Are you sure you want to delete this address?"
"Are you sure?","Are you sure?"
"Array of Entity collections is expected.","Array of Entity collections is expected."
"Assign a User Group","Assign a User Group"
"Attribute object is undefined","Attribute object is undefined"
"Average Sale","Average Sale"
"Back","Back"
"Back - link to the previously viewed page","Back - link to the previously viewed page"
"Back to Login","Back to Login"
"Bad request.","Bad request."
"Bill to Name","Bill to Name"
"Bought From","Bought From"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"CSV","CSV"
"Cancel","Cancel"
"Cannot save address.","Cannot save address."
"Cannot save the user.","Cannot save the user."
"Cannot share user accounts globally because some user accounts with the same emails exist on multiple websites and cannot be merged.","Cannot share user accounts globally because some user accounts with the same emails exist on multiple websites and cannot be merged."
"Change Account Password","Change Account Password"
